SAMPLE_ID,KRT17,ESR1,KRT14,EGFR,KRT5,DDX41,STAT5A,STAT5B,MKI67,CDC20,RFWD3,SIAH2,CDH3,SMIM14,FCN1,ACTR3B,RAB17,SUSD3,TYMS,INAVA,PRRG2,DNMT3B,PBK,TTYH1,IL34,SLC39A6,OVOL2,FABP5,CLEC10A,ELF5,MAGED2,ABAT,SLC43A3,FOXC1,RERG,RPL21,BCL10,PLPP3,RMND5B,MARCHF6,ISCU,PRNP,GSK3B,RPL10A,C1R,FOXP1-IT1,EZR,CFH,SDHD,KLRB1,ZFP36L2,ARFGAP1,SELENOF,CHTF18,CTHRC1,HSD17B6,LRRC38,CES1,ATP1A2,SCN2A,COL10A1,PENK,CXCL3,MRGPRX2,BGN,SLC10A6,CCDC141,PKHD1L1,OR2L13,DSC1
MB-0362,-0.116372064,-0.23034145,0.1920516,-0.27552944,-0.26603255,0.66213316,0.366608,-0.53606457,-0.30482325,0.15656094,-0.587451,0.7749036,-0.63354015,0.7313147,-0.20784822,-0.36130902,0.69102544,0.31571972,1.2941734,-0.6775289,0.92786586,-0.81379515,-0.4252924,-0.41329443,-0.046087686,0.8538838,0.7670073,0.30782238,-0.31102163,-0.47887844,0.44049016,0.5585596,0.41279638,-0.11177241,0.23004207,-0.9527594,0.24953778,0.08897763,0.13026603,-0.2395404,-0.08517831,0.040590737,0.27203095,-0.6963258,0.92986494,-0.2415389,0.3935027,0.27203134,-1.3501596,-1.0476352,0.70252424,-0.103373885,-0.8076969,0.4931755,-0.8165932,1.8917215,-0.24173944,0.32811713,-0.776902,-0.43928963,1.2395855,-0.33141598,0.38690186,0.11977022,0.84508634,-1.5874996,-1.4270383,-0.03719069,-1.2481856,0.1418644
MB-0346,-1.3483617,-1.6588811,-0.8805778,1.4661301,-0.8245913,4.442176,-1.1425118,-1.6196901,0.39849967,0.8315897,1.3670577,-0.5946485,0.5741549,-0.052086264,1.0675298,-0.55516,0.5210684,-2.163456,1.9022202,1.2268912,-0.15066116,2.2550294,1.3979473,0.10547445,-0.6353387,-1.0913237,-0.63573974,0.26353353,-0.98945034,0.3773055,-1.0307385,-0.5274655,-0.95305926,-1.0602332,-2.316517,0.5075721,0.21494652,-1.4582316,1.4274383,-0.43938985,-0.30892184,-0.39260006,0.9870504,-0.3072237,-1.0019492,-1.0411371,0.29892662,-0.7548095,-0.9058718,-0.46488225,-0.01329518,0.7006229,-1.2403874,0.22764225,-1.4814254,-0.25833535,-1.3931489,-0.17365597,-1.1227145,-0.7882015,-0.516671,-0.30742207,-0.3048234,0.8830766,-1.8508338,1.4291384,-0.21254574,0.11137171,0.4739806,-0.6333397
MB-0386,-0.89837503,0.2876279,-0.6304409,0.045189433,-0.68102765,0.14956294,-0.2756302,-0.3476123,-0.42999172,-0.10027391,-0.9524593,-0.12786701,-1.0541339,-0.4565835,-0.5233686,0.33031628,0.089077584,0.77950287,-0.5614595,0.27173182,0.44328853,0.7983975,0.064084016,-0.44558626,0.29622576,0.6334396,0.9897512,1.4741279,-0.19445105,0.43769026,0.0061997985,-1.2556813,0.007698516,-0.030592889,0.4852778,-0.6244422,0.27523127,0.48677713,0.93596244,-0.40969735,1.0453366,0.5373655,0.17755482,-0.48527884,0.61084515,0.16995727,-0.76150525,1.2609818,-0.5240682,-0.36170825,0.44238982,-0.7748042,-0.7352152,-0.31012255,-0.29822403,1.5315126,-1.686075,2.3678012,0.45448637,0.13376567,1.4537314,0.094276235,1.130514,0.06918305,1.4658296,-2.247533,-0.72131693,0.7569083,0.1516618,-1.0463353
MB-0574,-1.2154952,1.321967,-0.9479608,-0.7220166,-0.97965205,1.3626559,0.97645444,1.0509335,-0.057885423,-1.046634,-1.5628058,2.552652,-1.0088453,-1.1420094,-0.890076,-0.5864521,0.020194998,1.4467349,0.17455526,-1.1646061,-0.15366039,1.3777511,-0.450686,-0.32711622,-0.33381495,1.0775273,0.4283925,0.11267165,-0.8340895,-0.98285127,1.8047457,1.2933736,-0.39509994,-1.3325645,1.1002231,-0.16545804,1.1968986,-1.3215661,1.1512079,0.22424233,0.7080216,-0.19914882,1.5278139,-0.48657852,0.10847154,-0.5510608,0.44239035,-0.21824493,-0.97425455,-1.0187426,-0.0059970226,-0.38980147,-0.057086624,1.0764289,-0.043288365,0.5783533,-0.47338098,-0.3339154,-1.3869478,-0.5334658,0.7355128,-0.38970125,1.6038945,-0.13696463,-0.36570832,-1.0763286,0.02289466,-0.3970996,-0.39380082,0.2680325
MB-0185,-1.3170695,-0.24723719,-1.0829269,-0.034090523,-1.0368376,-0.79779714,0.9774541,-0.27832985,0.25953466,0.46238336,-0.5618574,-0.5035716,0.4781792,-0.7127184,-0.4056983,-0.345413,-0.3690066,-0.16545914,1.1304146,0.98805135,1.6274889,0.14906158,0.50707215,-0.4194929,-0.65093476,-0.5126703,-0.4930756,0.024493914,-0.83169013,-0.47987816,-0.9756523,-0.33751363,0.050587703,-0.7512111,-0.3240185,-0.21044669,0.9244675,-0.526167,-0.12886849,-0.8559845,0.1145713,0.9879519,0.84628594,-1.084228,1.2274901,-0.8402878,-0.62613946,0.8238921,0.4127954,0.014296947,0.5819546,-0.48737684,-0.32241955,1.9346131,-0.21044618,0.75780797,-0.041190058,-0.8411871,-0.91766644,-0.88157797,0.7602066,-0.44108823,1.7387605,0.06758346,-0.09187737,0.81099457,0.73841363,-0.22784244,0.7142201,0.45188603
MB-0503,0.65153456,0.7413135,0.7719053,-0.14286304,0.24933708,0.33311647,-0.1625587,-0.08047997,0.17575574,-0.6604318,-1.2496845,1.112018,0.45138595,0.1787551,-0.03909084,-0.39709994,0.9054712,0.441588,0.35690933,-0.6709306,-0.21754423,-1.0809275,-0.8449865,-0.5552586,0.1904525,0.6327398,-0.16075924,0.37930435,-0.67243034,-0.8843761,0.08467998,-0.047886923,-0.109072044,-0.21264696,0.0072981175,-0.2785295,1.1399131,-0.19784991,1.0462345,-0.6352403,0.66323286,0.25493667,-0.3175202,-0.6037491,1.0485351,-0.48727688,-0.08007753,0.89087516,0.065683015,-0.430191,1.5907999,-1.5136175,-0.668532,0.22494294,-0.78270173,0.7763033,-1.3222668,0.52276784,0.014397721,0.014595756,0.71741736,-0.16755748,0.29002634,-0.31122047,0.41559458,3.1863945,-0.047487527,-0.43558988,-0.29252633,0.2261431
MB-0641,0.7385126,-0.009997027,1.2721791,0.63334066,0.55665934,-0.030491473,0.5883522,1.6585796,-1.1157192,-1.404943,-1.2721789,-0.46268195,0.33211604,-0.14426285,2.2492313,-0.36940697,-0.834089,0.04188865,-1.2472868,-0.7864015,-1.170703,-0.87417984,-0.6968239,-0.14746161,0.71272045,-0.084978536,-1.5795022,1.5044203,1.9472083,0.34221435,-1.2921724,-0.39989784,0.866482,0.40459734,0.28632787,0.26063442,1.4930239,2.6299357,-0.85238564,-0.89427483,1.3909494,1.6204925,-0.655135,-0.32361957,2.368803,-0.75011057,-2.0226865,2.789496,0.01719525,1.652584,1.3158693,-0.70742124,0.16065831,-1.3012733,-0.3934,-0.6211437,0.33981377,2.4884706,0.65633523,0.30732182,-0.0038005589,1.4040446,0.9518591,-0.46048257,-0.019395662,-0.4211942,-0.73001474,0.041189473,-1.464931,-0.7483106
MB-0201,0.41559392,-1.7854491,-0.3981995,2.859478,-0.23833956,0.5423635,-1.1053212,-1.4255393,0.08607832,0.9925489,0.18255542,-1.1535065,1.924314,-0.6370377,-0.6027486,3.0999167,-0.24353832,-1.7915498,-0.046489105,2.2440348,-0.7267153,0.44108778,-0.902272,0.11657165,0.36560822,-0.5885511,-0.6185441,1.0957234,-0.48677725,-0.23663957,-1.6234888,-1.0994208,0.2500374,1.0177426,-1.4101452,0.6462371,1.0724301,0.8919748,-0.69342583,-1.0669311,-0.33871436,0.5204697,0.16165882,0.2019481,1.9842997,-1.2738783,-1.3108664,0.37110633,-0.33751523,-0.52666664,0.988652,-0.07528098,-0.7813035,0.22214365,0.22204468,1.7952459,0.3180193,0.17295635,-0.954857,-0.08547898,1.1935971,0.217645,1.3108685,-0.8672794,1.0530338,0.8441861,-0.10247361,-0.4928754,-0.6728305,-0.24823701
MB-0218,-1.1879021,0.05918552,-1.0161437,-0.6778278,-0.9931486,0.81259507,-1.3478601,0.92656493,-0.48387817,0.006499005,0.39290252,2.6856182,-1.4282395,-1.2080927,-0.73961395,-0.3007243,-0.30692232,-1.7381632,1.2094947,-1.3061705,0.18975268,-1.7193662,1.1354135,-0.8785768,-0.7926989,0.9828512,0.3315169,0.66823137,-0.7574089,-1.0984222,1.8615313,1.1807021,-0.80079764,-0.76400787,0.9489611,0.11777048,0.3271182,-0.4160948,0.48587614,-0.7126208,0.18765287,-0.024792783,0.31631976,0.36110803,0.3473115,-0.9395628,-0.30991945,0.071481965,-0.14576362,-0.9183679,-0.3445116,1.5742022,0.2809279,0.3953001,0.7810036,2.3659015,-1.0299406,-1.0125437,4.817582,-0.74631214,1.5915966,-0.106772855,-0.33321625,2.1914446,0.42619193,-0.4307918,-0.7462107,0.734314,-0.41939434,-0.02809265
MB-0316,0.9056705,-1.4575319,2.1280632,0.8053972,2.3542047,-1.0935222,1.7107694,0.09157644,0.7194189,1.1149178,1.1166205,-0.6354381,2.436185,-1.9180123,0.9399619,2.113366,-1.111319,-0.72841746,1.0305398,0.7359149,-0.8622811,0.42779112,0.5854524,2.4382849,2.363903,-1.3596559,-0.5605586,1.4011463,-0.693625,2.1915476,-1.4036443,-0.8741778,1.1092209,2.1497571,-1.3495604,0.019495286,0.4692823,-0.22344345,-1.9349121,-0.23154242,0.21954484,1.0083467,1.2366874,0.13266553,0.45798364,-1.2525837,-0.44188607,-0.37830454,0.45628443,1.0194436,0.667633,-0.53806406,0.49237445,0.35820943,0.14046526,-0.6274421,-0.56625754,-0.75280946,-0.6982219,0.66143245,-0.5122721,-0.18315352,-0.21694559,0.65863353,-1.0203432,1.4263391,0.08627862,2.4833715,-0.54046386,-0.101274155
