gene_a,gene_b,spearman_correlation,abs_correlation,relationship,gene_a_sources,gene_b_sources
KRT17,KRT5,0.8786776377347074,0.8786776377347074,positive co-expression,curated_breast_cancer_marker; tumor_subtype,curated_breast_cancer_marker; tumor_subtype
KRT14,KRT5,0.8313169703488613,0.8313169703488613,positive co-expression,curated_breast_cancer_marker; tumor_subtype,curated_breast_cancer_marker; tumor_subtype
KRT17,KRT14,0.8311122787515491,0.8311122787515491,positive co-expression,curated_breast_cancer_marker; tumor_subtype,curated_breast_cancer_marker; tumor_subtype
HSD17B6,COL10A1,0.8264913844546761,0.8264913844546761,positive co-expression,cancer_signature,cancer_signature
RPL21,RPL10A,0.8182115318057174,0.8182115318057174,positive co-expression,survival,survival
C1R,CFH,0.8033241045951958,0.8033241045951958,positive co-expression,survival,survival
SDHD,SELENOF,0.7746489432173993,0.7746489432173993,positive co-expression,survival,survival
CLEC10A,KLRB1,0.7601745413802427,0.7601745413802427,positive co-expression,tumor_subtype,survival
MARCHF6,FOXP1-IT1,0.7425271622354461,0.7425271622354461,positive co-expression,survival,survival
MKI67,CDC20,0.7407991263263648,0.7407991263263648,positive co-expression,curated_breast_cancer_marker; recurrence,curated_breast_cancer_marker; recurrence
FCN1,CLEC10A,0.7407660162196961,0.7407660162196961,positive co-expression,tumor_subtype,tumor_subtype
FCN1,KLRB1,0.739634843941349,0.739634843941349,positive co-expression,tumor_subtype,survival
PLPP3,CFH,0.7241438337408247,0.7241438337408247,positive co-expression,survival,survival
PRNP,C1R,0.7009409000132939,0.7009409000132939,positive co-expression,survival,survival
ESR1,RERG,0.6994262757441913,0.6994262757441913,positive co-expression,curated_breast_cancer_marker; tumor_subtype,tumor_subtype
RPL10A,SELENOF,0.698690833992079,0.698690833992079,positive co-expression,survival,survival
CTHRC1,COL10A1,0.6969219359486413,0.6969219359486413,positive co-expression,cancer_signature,cancer_signature
RPL21,SELENOF,0.690347993131101,0.690347993131101,positive co-expression,survival,survival
RPL21,SDHD,0.6858188391831294,0.6858188391831294,positive co-expression,survival,survival
PLPP3,C1R,0.6847972095088671,0.6847972095088671,positive co-expression,survival,survival
ESR1,SLC39A6,0.6793564843805654,0.6793564843805654,positive co-expression,curated_breast_cancer_marker; tumor_subtype,tumor_subtype
RPL10A,SDHD,0.6782614726000421,0.6782614726000421,positive co-expression,survival,survival
C1R,FOXP1-IT1,-0.6628779562097904,0.6628779562097904,negative/opposite expression,survival,survival
SLC39A6,RERG,0.6564023938929605,0.6564023938929605,positive co-expression,tumor_subtype,tumor_subtype
C1R,ZFP36L2,0.6548024856024967,0.6548024856024967,positive co-expression,survival,survival
MARCHF6,C1R,-0.6406897145483771,0.6406897145483771,negative/opposite expression,survival,survival
ESR1,EGFR,-0.638223267845945,0.638223267845945,negative/opposite expression,curated_breast_cancer_marker; tumor_subtype,curated_breast_cancer_marker; tumor_subtype
KRT5,FOXC1,0.6379492666596115,0.6379492666596115,positive co-expression,curated_breast_cancer_marker; tumor_subtype,tumor_subtype
KRT17,FOXC1,0.6334437796969515,0.6334437796969515,positive co-expression,curated_breast_cancer_marker; tumor_subtype,tumor_subtype
BCL10,MARCHF6,-0.6308869216193679,0.6308869216193679,negative/opposite expression,survival,survival
EGFR,FOXC1,0.628408341021826,0.628408341021826,positive co-expression,curated_breast_cancer_marker; tumor_subtype,tumor_subtype
FABP5,PRNP,0.6266797376006988,0.6266797376006988,positive co-expression,tumor_subtype,survival
